"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 24 10:28:43 AST 2023","Sun Sep 24 10:28:47 AST 2023","4317","Practice Suite","Academy Page Test","AcademyPageTest","AcademyPageTest","NavigateToRegistrationPage","NavigateToRegistrationPage",""
"passed","Sun Sep 24 10:27:10 AST 2023","Sun Sep 24 10:27:10 AST 2023","31","Practice Suite","Home Page Test","HomePageTest.SpecialistsAndGuidesSectionTest","HomePageTest.SpecialistsAndGuidesSectionTest","contactNowButtonIsDisplayed","contactNowButtonIsDisplayed",""
"passed","Sun Sep 24 10:26:26 AST 2023","Sun Sep 24 10:26:26 AST 2023","27","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","verifyFamcareMenuItemTextIsCorrect","verifyFamcareMenuItemTextIsCorrect",""
"passed","Sun Sep 24 10:27:17 AST 2023","Sun Sep 24 10:27:17 AST 2023","27","Practice Suite","Join As Specialist Form Test","JoinAsSpecialistTest","JoinAsSpecialistTest","verifyYearsOfExperienceFieldIsDisplayed","verifyYearsOfExperienceFieldIsDisplayed",""
"passed","Sun Sep 24 10:27:17 AST 2023","Sun Sep 24 10:27:17 AST 2023","24","Practice Suite","Join As Specialist Form Test","JoinAsSpecialistTest","JoinAsSpecialistTest","verifySocialMediaAccountFieldIsDisplayed","verifySocialMediaAccountFieldIsDisplayed",""
"passed","Sun Sep 24 10:26:24 AST 2023","Sun Sep 24 10:26:26 AST 2023","1682","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","verifyClickingLogoItemOpensHomePage","verifyClickingLogoItemOpensHomePage",""
"passed","Sun Sep 24 10:27:01 AST 2023","Sun Sep 24 10:27:01 AST 2023","26","Practice Suite","Home Page Test","HomePageTest.HeroSectionTest","HomePageTest.HeroSectionTest","verifyThatHeroSectionParagraphIsDisplayed","verifyThatHeroSectionParagraphIsDisplayed",""
"passed","Sun Sep 24 10:26:26 AST 2023","Sun Sep 24 10:26:26 AST 2023","40","Practice Suite","Home Page Test","HomePageTest.NavigationBarTest","HomePageTest.NavigationBarTest","verifyFamcareMenuItemIsActiveClass","verifyFamcareMenuItemIsActiveClass",""
"passed","Sun Sep 24 10:27:10 AST 2023","Sun Sep 24 10:27:10 AST 2023","25","Practice Suite","Home Page Test","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","HomePageTest.ApprovedOfficialAuthoritiesSectionTest","verifyCard_3_ImageSrcIsCorrect","verifyCard_3_ImageSrcIsCorrect",""
"passed","Sun Sep 24 10:27:01 AST 2023","Sun Sep 24 10:27:01 AST 2023","20","Practice Suite","Home Page Test","HomePageTest.HeroSectionTest","HomePageTest.HeroSectionTest","verifyHeroSectionImageSrcIsCorrect","verifyHeroSectionImageSrcIsCorrect",""
